symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
TRXUSDT,1702655999999,-1.1747,-15.503200000000001,-11.096700000000002,4.406499999999999,IS,off,taken
TRXUSDT,1702886399999,-1.1106,-16.6138,-11.096700000000002,5.517099999999999,IS,off,taken
TRXUSDT,1703174399999,1.8338,-14.780000000000001,-11.096700000000002,3.683299999999999,IS,off,taken
TRXUSDT,1704067199999,1.9246,-12.855400000000001,-12.855400000000001,0.0,IS,off,taken
TRXUSDT,1704700799999,-1.5633,-14.418700000000001,-12.855400000000001,1.5633,IS,off,taken
TRXUSDT,1705219199999,-1.891,-16.3097,-12.855400000000001,3.454299999999998,IS,off,taken
TRXUSDT,1705708799999,-2.3873,-18.697,-12.855400000000001,5.841599999999998,IS,off,taken
TRXUSDT,1706457599999,1.2631,-17.433899999999998,-12.855400000000001,4.5784999999999965,IS,off,taken
TRXUSDT,1706831999999,1.2744,-16.159499999999998,-14.418700000000001,1.7407999999999966,IS,off,taken
TRXUSDT,1707292799999,-1.3851,-17.5446,-14.418700000000001,3.125899999999998,IS,off,taken
TRXUSDT,1707811199999,3.2677,-14.2769,-14.2769,0.0,IS,off,taken
TRXUSDT,1709452799999,-0.9972,-15.274099999999999,-14.2769,0.9971999999999994,IS,off,taken
TRXUSDT,1710115199999,-1.1347,-16.4088,-14.2769,2.1319,IS,off,taken
TRXUSDT,1710489599999,-0.5413,-16.9501,-15.274099999999999,1.6760000000000002,IS,off,taken
TRXUSDT,1711123199999,-2.3458,-19.2959,-15.274099999999999,4.021800000000001,IS,off,taken
TRXUSDT,1711295999999,-2.2552,-21.551099999999998,-15.274099999999999,6.276999999999999,IS,off,taken
TRXUSDT,1712044799999,-2.1057,-23.656799999999997,-15.274099999999999,8.382699999999998,IS,off,taken
TRXUSDT,1713052799999,-1.7348,-25.391599999999997,-16.9501,8.441499999999998,IS,off,taken
TRXUSDT,1713254399999,-2.1617,-27.553299999999997,-19.2959,8.257399999999997,IS,off,taken
TRXUSDT,1713513599999,-2.129,-29.682299999999998,-19.2959,10.386399999999998,IS,off,taken
TRXUSDT,1714060799999,2.8127,-26.8696,-23.656799999999997,3.2128000000000014,IS,off,taken
TRXUSDT,1714377599999,-0.7613,-27.630899999999997,-23.656799999999997,3.9741,IS,off,taken
TRXUSDT,1714579199999,-1.1929,-28.8238,-23.656799999999997,5.167000000000002,IS,off,taken
TRXUSDT,1715644799999,-0.7126,-29.536399999999997,-25.391599999999997,4.1448,IS,off,taken
TRXUSDT,1720166399999,-0.897,-30.433399999999995,-30.433399999999995,0.0,IS,off,taken
TRXUSDT,1720367999999,-1.4204,-31.853799999999996,-30.433399999999995,1.4204000000000008,IS,off,taken
TRXUSDT,1720684799999,2.9803,-28.873499999999996,-28.873499999999996,0.0,IS,off,taken
TRXUSDT,1722211199999,0.0,-28.873499999999996,-28.873499999999996,0.0,IS,off,taken
